,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
13,U001,0200769623,WAL-MAR associates,2020-03-25 17:58:41.695312500,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,Negatives
14,CA02,140105785,SHOPPE foundation,2020-04-24 05:46:38.250000000,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,1980.7199999999998,0-15
15,U001,0200769623,WAL-MAR ,2020-03-14 16:51:23.742187500,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,14514.68,0-15
16,U001,0200769623,WAL-MAR foundation,2020-04-23 13:30:35.875000000,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,55400.31,Negatives
17,U001,0200772670,ASSOCIAT corporation,2020-04-23 07:57:18.378906250,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,174766.36,Negatives
18,U001,0200900909,SYSCO systems,2020-04-14 20:14:46.765625000,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,31512.75,0-15
19,U001,0200769623,WAL-MAR systems,2020-04-14 11:13:03.742187500,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,19701.55,0-15
20,U001,0200726979,BJ'S  trust,2020-04-29 21:54:47.031250000,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,132.72,Negatives
21,U001,0200769623,WAL-MAR llc,2020-04-09 17:51:22.562500000,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,1121.15,Negatives
22,U001,0200769623,WAL-MAR llc,2020-04-19 10:12:29.390625000,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,11394.84,Negatives
23,CA02,0140105847,GORDON F co,2020-04-20 11:55:07.750000000,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,2579.64,0-15
24,U001,0200744019,TARG foundation,2020-03-31 20:46:05.015625000,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,52123.3,0-15
25,U001,0200769623,WAL-MAR systems,2020-03-23 14:37:37.007812500,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,14994.01,Negatives
26,U001,0200769623,WAL-MAR llc,2020-03-22 00:09:56.625000000,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,36.06,0-15
27,U001,0200418007,AM in,2020-04-18 18:52:47.921875000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,25836.19,Negatives
28,U001,0200739006,AL foundation,2020-05-01 16:44:32.078125000,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,4309.05,0-15
29,U001,0100031704,DELHAIZE associates,2020-05-01 04:02:26.195312500,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,70181.07,0-15
30,U001,0200769623,WAL-MAR trust,2020-04-12 11:37:39.492187500,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,3403.8,0-15
31,U001,0200744019,TARG systems,2020-05-14 23:52:00.578125000,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,10665.53,0-15
32,U001,0200769623,WAL-MAR ,2020-04-05 21:15:26.054687500,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,7280.51,0-15
33,U001,0200726979,BJ'S  corporation,2020-03-17 10:42:16.984375000,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,13681.7,0-15
34,U001,0200706844,WINC associates,2020-04-26 15:50:18.437500000,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,33947.85,0-15
35,U001,0200793830,M llc,2020-04-23 06:19:14.013671875,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,4537.14,0-15
36,U001,0200769623,WAL-MAR foundation,2020-04-19 17:06:54.695312500,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,14355.96,Negatives
37,U001,0200769623,WAL-MAR systems,2020-04-19 04:31:06.953125000,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,367.71,0-15
38,U001,0200769623,WAL-MAR trust,2020-05-19 08:28:07.375000000,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,56284.77,Negatives
39,U001,0200769623,WAL-MAR systems,2020-03-15 08:26:20.443359375,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,50493.86,0-15
40,U001,0200769623,WAL-MAR llc,2020-05-06 15:57:15.867187500,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,15489.43,0-15
41,CA02,0140104423,METRO  llc,2020-03-13 17:13:07.203125000,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,93179.35199999998,0-15
42,U001,0200726979,BJ'S  systems,2020-05-04 14:12:14.187500000,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,360.33,0-15
43,U001,0200743996,STATER  llc,2020-05-19 10:48:41.417968750,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,3826.03,Negatives
44,U001,0200752302,KROGER trust,2020-04-17 13:51:08.632812500,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,96674.05,0-15
45,CA02,140105686,SYSC llc,2020-05-21 06:22:31.406250000,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,43230.299,0-15
46,U001,0200711029,WEGMAN corp,2020-04-23 06:17:09.093750000,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,14382.22,0-15
47,CA02,CCU001,KRAFT  corporation,2020-05-01 05:41:43.312500000,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,17828.068999999996,0-15
48,U001,0200769623,WAL-MAR llc,2020-05-06 13:25:23.992187500,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,35509.95,0-15
49,U001,0200769623,WAL-MAR associates,2020-04-18 21:02:51.109375000,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,13512.61,Negatives
50,U001,0200772670,ASSOCIAT corp,2020-04-08 10:08:39.859375000,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,24421.33,0-15
51,U001,0200769623,WAL-MAR co,2020-05-04 13:52:08.828125000,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,11217.33,0-15
52,U001,0200769623,WAL-MAR systems,2020-04-26 14:37:37.007812500,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,12554.13,Negatives
53,U001,0200720238,WOODM co,2020-05-21 21:52:03.750000000,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,126919.03,0-15
54,CA02,140106408,WAL-M in,2020-05-21 03:55:42.500000000,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,28537.684,16-30
55,U001,0200769623,WAL-MAR co,2020-04-20 17:50:11.281250000,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,24834.9,0-15
56,U001,0200769623,WAL-MAR us,2020-04-01 03:36:49.656250000,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,50202.83,0-15
57,U001,0200769623,WAL-MAR us,2020-04-18 11:32:08.203125000,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,8299.7,0-15
58,U001,0200799367,MCL corporation,2020-04-13 17:43:28.656250000,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,51602.13,0-15
59,U001,0200759878,SA co,2020-04-29 05:13:17.177734375,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,18900.99,0-15
60,U001,0200794332,COST corp,2020-03-28 05:22:49.101562500,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,49467.7,Negatives
61,U001,0200515231,US  us,2020-04-26 06:58:03.562500000,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,10187.66,0-15
62,U001,0200782669,SYGMA corp,2020-03-31 20:19:59.343750000,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,237.4,0-15
63,U001,200769623,WAL-MAR foundation,2020-05-25 17:57:41.156250000,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,11532.84,Negatives
64,U001,0200769623,WAL-MAR ,2020-04-08 17:08:52.367187500,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,20017.92,0-15
65,U001,0200331749,SYSC foundation,2020-03-19 18:01:06.875000000,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5320.85,0-15
66,U001,0200772670,ASSOCIAT associates,2020-05-08 17:39:18.554687500,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,30900.83,0-15
67,U001,0200772670,ASSOCIAT us,2020-04-17 05:17:22.568359375,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,65843.26,0-15
68,U001,0200706844,WINC foundation,2020-03-26 08:47:56.562500000,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,359.44,0-15
69,U001,0100043975,JAVA ,2020-04-12 23:11:57.812500000,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,1427.36,Negatives
70,U001,0200762301,C&S WH in,2020-03-18 23:24:02.949218750,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,99091.71,Negatives
71,U001,0200148860,DOLLA associates,2020-06-04 03:55:21.281250000,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,6543.44,Negatives
72,CA02,0100027744,OMEGA AD in,2020-05-29 21:12:18.750000000,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,4924.5,0-15
73,U001,0100031704,DELHAIZE co,2020-03-16 13:43:03.687500000,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,106394.18,0-15
74,U001,0200799420,HT HA foundation,2020-04-06 03:50:39.281250000,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,801.1,Negatives
75,U001,0200974851,RESTA systems,2020-04-11 20:26:11.078125000,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,3566.69,0-15
76,U001,0200769623,WAL-MAR in,2020-05-13 08:26:06.677734375,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8885.57,0-15
77,U001,0200793568,SUPE llc,2020-03-26 09:13:24.593750000,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,15893.27,0-15
78,U001,0200759878,SA foundation,2020-03-20 22:24:04.642578125,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,70180.8,Negatives
79,U001,0200712187,SPAR in,2020-05-06 18:02:17.468750000,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,119384.36,0-15
80,U001,0100047532,KEYSTON associates,2020-03-22 13:21:54.687500000,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,11852.54,0-15
81,U001,0200794332,COST co,2020-03-19 19:54:48.203125000,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,11225.42,0-15
82,U001,0200148860,DOLLA associates,2020-05-28 09:57:55.519531250,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,5456.75,Negatives
83,U001,200794332,COST llc,2020-05-22 01:37:36.804687500,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,81500.86,Negatives
84,U001,0200555117,BURR trust,2020-04-14 14:23:21.125000000,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,749.14,0-15
85,U001,200769623,WAL-MAR in,2020-05-22 09:47:21.890625000,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,2219.89,Negatives
86,U001,0200772670,ASSOCIAT corp,2020-04-05 16:00:25.601562500,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,15489.78,0-15
87,U001,200707822,PUBLI corporation,2020-05-19 06:37:48.822265625,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,126107.91,0-15
88,CA02,0140104392,FLANAG us,2020-03-26 18:10:34.625000000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,2528.673,0-15
89,U001,0200769623,WAL-MAR corp,2020-05-13 05:33:27.412109375,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,11545.38,0-15
90,U001,0200759878,SA systems,2020-04-16 22:17:06.343750000,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,47646.57,0-15
91,U001,0200705742,DOT foundation,2020-03-09 18:46:42.968750000,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5932.51,Negatives
92,U001,200793568,SUPE trust,2020-04-09 11:08:12.109375000,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1635.76,0-15
93,U001,0200726979,BJ'S  ,2020-03-27 06:43:10.603515625,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,1286.3,0-15
94,U001,0200704858,WAKE corp,2020-04-24 20:16:44.304687500,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,99568.42,0-15
95,U001,0200780383,MEIJ in,2020-04-07 16:01:16.875000000,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,3612.63,0-15
96,U001,0200762301,C&S WH associates,2020-04-25 21:05:58.117187500,2020.0,1930778021.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAC6,102276.04,Negatives
97,CA02,0140106271,LONGO  in,2020-04-27 09:04:54.125000000,2020.0,2960626604.0,2020-04-03 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-07 00:00:00.000000000,CA10,8615.453,0-15
98,CA02,0140104423,METRO  us,2020-05-03 12:41:00.140625000,2020.0,2960628851.0,2020-04-17 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-21 00:00:00.000000000,CA10,45059.545999999995,0-15
99,U001,0200741174,M B  co,2020-04-01 11:13:18.875000000,2020.0,1930657267.0,2020-03-16 00:00:00.000000000,2020-03-31 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAA8,5767.83,0-15
100,CA02,0100030194,AMAZO llc,2020-04-03 21:29:55.687500000,2020.0,2960622411.0,2020-03-18 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-20 00:00:00.000000000,CA10,9851.667,0-15
101,U001,0200769623,WAL-MAR trust,2020-04-14 08:50:56.185546875,2020.0,1930720012.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,42379.83,0-15
102,U001,0200592182,DECA in,2020-05-03 18:48:12.375000000,2020.0,1930822583.0,2020-04-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,1761.84,Negatives
103,U001,0200743996,STATER  co,2020-04-07 20:43:52.375000000,2020.0,1930686889.0,2020-03-22 00:00:00.000000000,2020-04-06 00:00:00.000000000,2020-03-22 00:00:00.000000000,NAA8,94612.03,0-15
104,U001,0200769623,WAL-MAR in,2020-04-28 10:16:42.750000000,2020.0,1930787980.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAH4,22226.35,Negatives
105,U001,0200749782,KROG associates,2020-05-11 07:08:57.656250000,2020.0,1930822131.0,2020-04-25 00:00:00.000000000,2020-05-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,NAA8,88502.01,0-15
106,U001,0200744019,TARG corp,2020-05-17 17:55:09.156250000,2020.0,1930641073.0,2020-03-13 00:00:00.000000000,2020-05-17 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAGD,1982.06,0-15
107,U001,0200769623,WAL-MAR foundation,2020-05-06 20:25:08.984375000,2020.0,1930804577.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,2326.08,0-15
108,U001,0200705742,DOT us,2020-03-09 22:59:07.375000000,2020.0,1930592413.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,9822.38,Negatives
109,U001,0200744019,TARG trust,2020-05-21 23:18:37.578125000,2020.0,1930857489.0,2020-05-05 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,NAA8,29592.42,0-15
110,U001,0200772670,ASSOCIAT associates,2020-04-19 04:38:40.281250000,2020.0,1930739252.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAU5,47903.76,0-15
111,U001,0200769623,WAL-MAR corporation,2020-04-08 05:47:30.060546875,2020.0,1930692953.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,1898.9,0-15
112,U001,0200900909,SYSCO in,2020-04-19 14:44:39.250000000,2020.0,1930741081.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,7524.17,0-15
113,U001,0200424504,M  in,2020-05-08 15:31:27.875000000,2020.0,1930830032.0,2020-04-28 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-04-15 00:00:00.000000000,NACG,2428.04,16-30
114,U001,0100031704,DELHAIZE trust,2020-06-18 15:38:39.843750000,2020.0,1930794735.0,2020-04-16 00:00:00.000000000,2020-06-20 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAGD,1176.59,Negatives
115,U001,0200764795,SYSCO  us,2020-04-22 11:40:21.687500000,2020.0,1930637455.0,2020-03-18 00:00:00.000000000,2020-04-19 00:00:00.000000000,2020-03-18 00:00:00.000000000,NA32,10978.51,0-15
116,U001,0200337148,COAS systems,2020-03-16 08:00:49.464843750,2020.0,1930587342.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,45127.79,Negatives
117,U001,0200416837,DEC llc,2020-03-21 11:22:48.625000000,2020.0,1930599382.0,2020-03-04 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAM4,398.16,Negatives
118,U001,0200769623,WAL-MAR llc,2020-03-22 06:40:55.703125000,2020.0,1930623646.0,2020-03-09 00:00:00.000000000,2020-03-24 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAH4,58726.21,Negatives
119,U001,0200726979,BJ'S  associates,2020-03-29 23:25:31.187500000,2020.0,1930645815.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,588.49,0-15
120,U001,0200721222,GO us,2020-05-07 13:26:28.546875000,2020.0,1930800642.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,25685.07,0-15
121,U001,0200772595,SAFEW corporation,2020-04-17 12:44:19.679687500,2020.0,1930729101.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,10020.14,0-15
122,U001,0200820380,SMITH'S trust,2020-04-16 04:01:52.078125000,2020.0,1930716191.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAA8,48022.97,0-15
